ITEM,Calories(kCal),Sugar(g),Protein(g),Fat(g),Sodium(mg),Price(baht)
Oreo Vanilla Flavor,140.0,11.0,1.0,6.0,105.0,10
Coke Plus,45.0,11.0,0.0,0.0,0.0,12
Pumpkin,26.0,2.8,1.0,0.1,1.0,20
Grape,72.0,0.0,1.0,0.0,2.0,60
Banana,88.0,12.0,1.1,0.3,1.0,10
Apple,52.0,10.0,0.3,0.2,1.0,30
Orange,47.0,9.0,0.9,0.1,0.0,15
Tangarine,53.0,11.0,0.8,0.3,2.0,15
Pomelo,38.0,0.0,0.8,0.0,1.0,40
Lychee,66.0,15.0,0.8,0.4,1.0,30
mango,59.0,14.0,0.8,0.4,1.0,30
Persimmon,126.0,0.0,0.8,0.4,1.0,30
Lemon,28.0,2.5,1.1,0.3,2.0,30
Watermelon,30.0,6.0,0.6,0.2,1.0,20
Grapefruits,42.0,7.0,0.8,0.1,0.0,40
Passon Fruit,97.0,11.0,2.2,0.7,28.0,30
Kiwi,60.0,9.0,1.1,0.5,3.0,40
Strawberry,32.0,4.9,0.7,0.3,1.0,50
